BubbleSort,,,
,Time,,
Elements,Best,Random,Worst
0,0,0,0
500,3690,5650,7519
1000,15155,21689,27060
1500,32668,48069,61076
2000,58114,86590,120508
2500,94206,136283,172619
3000,130824,215115,285000
3500,212204,297119,380331
4000,278671,367742,468914
4500,302531,467762,609633
5000,392102,585482,726673
5500,489145,715199,902596
6000,569454,848416,1081016
6500,659637,986457,1229973
7000,739663,1146147,1435563
7500,887471,1333120,1720618
8000,1035259,1537034,1936496
8500,1142975,1692883,2160077
9000,1270813,1897323,2424257
9500,1379382,2127431,2690847
10000,1542386,2372791,2978638
,,,
SelectionSort,,,
,Time,,
Elements,Best,Random,Worst
0,0,0,0
500,3548,3507,3484
1000,14070,14534,14198
1500,32071,32315,33678
2000,62364,62197,60075
2500,91445,96986,97824
3000,139655,125204,130507
3500,180918,180427,175737
4000,236273,240130,238106
4500,342440,313430,310210
5000,364347,358916,363670
5500,453998,446459,442749
6000,539204,524469,520414
6500,637537,619291,622448
7000,726213,712934,729726
7500,834475,836983,822903
8000,930797,931050,943175
8500,1203525,1141207,1099319
9000,1244229,1236658,1199920
9500,1328571,1328825,1330913
10000,1470311,1464780,1463768
,,,
InsertionSort,,,
,Time,,
Elements,Best,Random,Worst
0,3,0,0
500,30,3152,5107
1000,40,9450,17917
1500,68,20683,39609
2000,80,34885,70984
2500,103,54934,110723
3000,142,85585,162803
3500,166,123102,227467
4000,167,151032,297541
4500,181,185067,359882
5000,210,227398,473589
5500,227,279247,581084
6000,301,333480,658373
6500,273,389496,772989
7000,306,451933,914129
7500,336,530402,1062840
8000,354,594873,1182775
8500,368,680182,1344971
9000,378,770426,1528456
9500,405,852430,1688534
10000,447,934399,1874697
,,,
MergeSort,,,
,Time,,
Elements,Best,Random,Worst
0,0,0,0
500,2248,2153,2060
1000,7359,7715,7628
1500,16980,16866,16207
2000,29549,28892,27451
2500,46132,44755,45381
3000,59782,62728,69916
3500,88741,86482,84379
4000,109372,108831,108889
4500,146251,135879,142398
5000,173604,165322,174707
5500,199839,214008,208604
6000,251987,238702,233260
6500,286913,286999,288753
7000,322490,333380,332034
7500,387629,378794,369266
8000,435108,430447,421013
8500,479318,486065,469736
9000,549242,551229,540103
9500,620230,595911,600200
10000,664372,670440,671211
,,,
QuickSort,,,
,Time,,
Elements,Best,Random,Worst
0,0,0,0
500,5280,185,3493
1000,20531,371,14170
1500,47022,622,32619
2000,84687,941,56072
2500,133775,1071,86899
3000,192571,1610,128686
3500,264677,1617,185527
4000,355860,1824,243655
4500,435791,2303,302951
5000,547383,2799,357071
5500,646042,2730,450013
6000,753490,3116,525363
6500,907568,3488,616923
7000,1056545,3597,702961
7500,1229615,4144,895242
8000,1467706,4606,1027278
8500,1579725,5413,1058023
9000,1784073,5302,1184363
9500,1975591,5611,1337684
10000,2156150,5471,1533560
,,,
ShellSort,,,
,Time,,
Elements,Best,Random,Worst
0,0,0,0
500,149,307,239
1000,314,672,517
1500,528,1349,906
2000,725,2066,1104
2500,1049,2194,1516
3000,1152,2541,1770
3500,1555,3157,1997
4000,1904,4992,2502
4500,2250,4408,2846
5000,2058,5385,3518
5500,2330,4976,3291
6000,2550,6186,3859
6500,2860,6802,4476
7000,2973,6972,4598
7500,3016,7713,4996
8000,3284,8614,5585
8500,4014,9646,6233
9000,4424,11510,7124
9500,4873,10173,6393
10000,4693,11519,6958
,,,
